OccupationID,OccupationCode,OccupationLongDesc,InsertedByUserID,InsertedDateTime,UpdatedByUserID,UpdatedDateTime,CICCode
70,OTHER,OTHERS,1234,2013-01-23 10:45:59.000,1234,2013-01-23 10:45:59.000, 
71,FARM,FARMER,1234,2013-01-23 16:29:50.000,1003,2017-09-11 08:45:00.000, 
72,HH,HOSEHELPER,137,2013-03-07 15:10:06.000,137,2013-03-07 15:10:06.000, 
73,TTD,TRAILER TRUCK DRIVER,137,2013-03-07 16:01:43.000,137,2013-03-07 16:01:43.000, 
74,BKR,BAKER,137,2013-03-07 16:06:20.000,137,2013-03-07 16:06:20.000, 
75,BSDR,BUSINESS-SOFTDRINKS RETAILER,137,2013-03-07 16:30:32.000,137,2013-03-07 16:30:32.000, 
76,PHY,PHYSICIAN,137,2013-03-07 16:39:08.000,137,2013-03-07 16:39:08.000, 
77,RO,REVENUE OFFICER,691,2022-11-08 18:57:14.273,691,2022-11-08 18:57:14.273,
78,L S O,LEASE STALL OWNER,137,2013-03-08 11:30:28.000,137,2013-03-08 11:30:28.000, 
79,NET A,NETWORKING AGENT,137,2013-03-11 17:21:19.000,137,2013-03-11 17:21:19.000, 
80,BUS L,BUSINESS-LENDING,137,2013-03-13 16:46:10.000,137,2013-03-13 16:46:10.000, 
81,MNG,MINNING,137,2013-03-12 11:10:50.000,137,2013-03-12 11:10:50.000, 
82,MCD,MOTORCYCLE DRIVER,137,2013-03-12 11:14:54.000,137,2013-03-12 11:14:54.000, 
83,ACCTG,ACCOUNTING CLERK,137,2013-03-12 12:11:05.000,137,2013-03-12 12:11:05.000, 
84,PEN,PENSIONER,137,2013-03-15 12:08:13.000,137,2013-03-15 12:08:13.000, 
85,AGRI,AGRICULTURIST,167,2013-03-12 15:03:53.000,167,2013-03-12 15:03:53.000, 
86,MW,MIDWIFE,137,2013-03-12 17:07:34.000,137,2013-03-12 17:07:34.000, 
87,BEAU,BEAUTICIAN,137,2013-03-15 12:53:15.000,137,2013-03-15 12:53:15.000, 
88,OFW,OVERSEA FILIPINO WORKER,137,2013-03-15 12:57:14.000,137,2013-03-15 12:57:14.000, 
89,SG,SECURITY GUARD,137,2013-03-15 15:41:10.000,137,2013-03-15 15:41:10.000, 
90,STU,STUDENT,137,2013-03-18 15:01:07.000,137,2013-03-18 15:01:07.000, 
91,OW,OFFICE WORKER,167,2013-03-18 18:04:30.000,167,2013-03-18 18:04:30.000, 
92,BUS,BUSINESSMAN,167,2013-03-18 18:12:40.000,167,2013-03-18 18:12:40.000, 
93,BUS,BUSINESSWOMAN,167,2013-03-18 18:16:43.000,5004,2017-11-09 16:58:00.000, 
94,JUD,JUDGE,141,2013-03-19 09:34:26.000,141,2013-03-19 09:34:26.000, 
95,GOV,GOVERNMENT EMPLOYEE,137,2013-03-19 11:34:25.000,137,2013-03-19 11:34:25.000, 
96,SE,SELF EMPLOYED,137,2013-03-19 11:57:07.000,137,2013-03-19 11:57:07.000, 
97,BUSC,BUSINESS-SCHOOL,137,2013-04-09 12:40:25.000,137,2013-04-09 12:40:25.000, 
98,DEN,DENTIST,137,2013-03-25 15:29:29.000,137,2013-03-25 15:29:29.000, 
99,PBE,BANK EMPLOYEE-PRIVATE,137,2013-04-10 18:43:02.000,137,2013-04-10 18:43:02.000, 
100,MOB,BUSINESS-MOBILE,137,2013-04-10 18:54:01.000,137,2013-04-10 18:54:01.000, 
101,LEND,MONEY LENDING COMPANY,137,2013-04-11 17:07:00.000,137,2013-04-11 17:07:00.000, 
102,CONSO,BANANA CONSOLIDATOR,137,2013-04-12 11:25:22.000,137,2013-04-12 11:25:22.000, 
103,PNP,POLICE,137,2013-04-12 12:17:11.000,137,2013-04-12 12:17:11.000, 
104,BH,BUSINESS-HEALTH,137,2013-04-12 12:34:14.000,137,2013-04-12 12:34:14.000, 
105,CSR,CREDIT SALES REPRESENTATIVE,137,2013-04-19 14:46:44.000,137,2013-04-19 14:46:44.000, 
106,TD,TRICYCLE DRIVER,137,2013-04-22 11:52:21.000,137,2013-04-22 11:52:21.000, 
107,B8,BUSINESS-PHOTOCOPIER,137,2013-04-25 11:47:34.000,137,2013-04-25 11:47:34.000, 
108,AD.P,ADMINISTRATIVE PASTOR,137,2013-04-29 10:10:18.000,137,2013-04-29 10:10:18.000, 
109,RT,RETIRED,137,2013-04-29 10:22:55.000,2003,2017-07-07 18:05:00.000, 
110,PACJK,PACKER-FRUITS,137,2013-05-03 11:32:05.000,137,2013-05-03 11:32:05.000, 
111,PT,PRIVATE TEACHER,137,2013-05-03 14:36:11.000,137,2013-05-03 14:36:11.000, 
112,MNGR,MANAGER-NIA,137,2013-05-03 14:42:51.000,137,2013-05-03 14:42:51.000, 
113,B-8,BUSINESS-MINNING,137,2013-05-08 10:31:13.000,137,2013-05-08 10:31:13.000, 
114,SCH,SCHOOL CONSULTANT,137,2013-05-10 13:36:42.000,137,2013-05-10 13:36:42.000, 
115,107,NURSE,143,2013-05-15 10:39:33.000,143,2013-05-15 10:39:33.000, 
116,108,BEAUTICIAN,143,2013-05-15 11:29:31.000,143,2013-05-15 11:29:31.000, 
117,FARM,FARM SUPERVISOR,137,2013-05-16 14:34:26.000,137,2013-05-16 14:34:26.000, 
118,LUMB,DELIVERY-LUMBER,137,2013-05-16 15:11:42.000,137,2013-05-16 15:11:42.000, 
119,VET,VETRENARIAN-RESIDENT,137,2013-05-17 11:47:59.000,137,2013-05-17 11:47:59.000, 
120,CLERK,OFFICE-CLERK,137,2013-05-17 14:45:01.000,137,2013-05-17 14:45:01.000, 
121,VET,VETERINARIAN-ATTENDANT,137,2013-05-21 13:19:12.000,137,2013-05-21 13:19:12.000, 
122,DRIVE,DRIVER-FAMILY,137,2013-05-21 14:52:57.000,137,2013-05-21 14:52:57.000, 
123,VEN,VENDOR-FISH,137,2013-05-22 10:40:41.000,137,2013-05-22 10:40:41.000, 
124,WEL,WELDER,137,2013-05-22 14:23:54.000,137,2013-05-22 14:23:54.000, 
125,MP,MASTER PLUMBER,143,2013-05-29 14:18:25.000,143,2013-05-29 14:18:25.000, 
126,B9,BUSINESS-RETAILER,137,2013-05-24 14:19:41.000,137,2013-05-24 14:19:41.000, 
127,89,CHEMIST,143,2013-05-28 11:59:16.000,143,2013-05-28 11:59:16.000, 
128,COL,COLLECTOR,143,2013-06-13 11:12:27.000,143,2013-06-13 11:12:27.000, 
129,PHM,PHARMACIST,141,2013-06-19 10:21:49.000,141,2013-06-19 10:21:49.000, 
130,GRO,BANANA GROWER SUMIFRU,105,2013-06-25 08:55:58.000,105,2013-06-25 08:55:58.000, 
131,LAB,LABORER-PACKING PLANT,105,2013-06-24 08:09:52.000,105,2013-06-24 08:09:52.000, 
132,CRIM,CRIMINOLOGIST,105,2013-06-25 16:25:23.000,105,2013-06-25 16:25:23.000, 
133,LGU,LGU EMPLOYEE,105,2013-06-26 14:36:01.000,105,2013-06-26 14:36:01.000, 
134,ENG,ENGINEER,188,2013-06-26 18:46:27.000,188,2013-06-26 18:46:27.000, 
135,SSS,SSS-PENSIONER,105,2013-06-27 10:36:20.000,105,2013-06-27 10:36:20.000, 
136,TEACH,TEACHER,105,2013-06-27 14:29:52.000,1234,2015-02-12 16:21:00.000, 
137,BNKEM,BANK EMPLOYEE,9829,2013-07-01 15:05:12.000,9829,2013-07-01 15:05:12.000, 
138,MOM,MEDICAL OPERATION MANAGER,137,2013-07-04 15:35:40.000,137,2013-07-04 15:35:40.000, 
139,PE,PRIVATE EMPLOYEE,137,2013-07-05 10:59:10.000,188,2013-07-16 18:03:27.000, 
140,B6,BUSINESS-GOLD TRADING,137,2013-07-11 10:46:38.000,137,2013-07-11 10:46:38.000, 
141,DEP,DEP-ED- TEACHER,137,2013-07-16 11:52:03.000,137,2013-07-16 11:52:03.000, 
142,NGO,NGO VOLUNTEER,25,2013-07-14 14:19:40.000,25,2013-07-14 14:19:52.000, 
143,DEP,DEPED-SCHOOL PRINCIPAL,137,2013-07-16 11:52:19.000,137,2013-07-16 11:52:19.000, 
144,BRGY,BARANGAY CAPTAIN,105,2013-07-17 15:16:51.000,105,2013-07-17 15:16:51.000, 
145,CLR,COUNCILOR,188,2013-07-17 15:17:52.000,188,2013-07-17 15:17:52.000, 
146,BRGY,BARANGAY TREASURER,105,2013-07-17 15:24:11.000,105,2013-07-17 15:24:11.000, 
147,SEC,BRANCH SECRETARY,137,2013-07-22 10:00:11.000,137,2013-07-22 10:00:11.000, 
148,ELEC,ELECTRICIAN,189,2013-07-17 20:10:20.000,189,2013-07-17 20:10:20.000, 
149,CASH,CASHIER,137,2013-07-18 11:56:36.000,137,2013-07-18 11:56:36.000, 
150,COLL,FINANCE COLLECTOR,137,2013-07-18 13:41:55.000,137,2013-07-18 13:41:55.000, 
151,PM,PARTS MAN,142,2013-07-22 11:09:12.000,142,2013-07-22 11:09:12.000, 
152,CLERK,BARANGAY CLERK,105,2013-07-22 11:52:24.000,105,2013-07-22 11:52:24.000, 
153,AGRI,BANANA-AGRI BUSINESS ALMACA,137,2013-07-23 14:55:34.000,137,2013-07-23 14:55:34.000, 
154,LOAN,LOAN PROCESSOR,105,2013-07-27 09:58:38.000,105,2013-07-27 09:58:38.000, 
155,MAYOR,MUNICIPAL MAYOR,105,2013-07-29 10:39:18.000,105,2013-07-29 10:39:18.000, 
156,VMAYO,MUNICIPAL VICE MAYOR,105,2013-07-29 10:48:02.000,105,2013-07-29 10:48:02.000, 
157,LGU,LOCAL TREASURY OPERATION OFFIC,105,2013-07-29 10:50:50.000,105,2013-07-29 10:50:50.000, 
158,LGU,MUN. ADMINISTRATOR,105,2013-07-29 10:53:19.000,105,2013-07-29 10:53:19.000, 
159,LGU,MUN.TREASURER,105,2013-07-29 10:55:42.000,105,2013-07-29 10:55:42.000, 
160,DRV,DRIVER,185,2013-07-29 11:53:22.000,185,2013-07-29 11:53:22.000, 
161,B9,BUSINESS-GENERAL ENTERPRISES,137,2013-07-29 14:00:18.000,137,2013-07-29 14:00:18.000, 
162,B11,BUSINESS-PHOTOSHOP,137,2013-07-30 14:52:41.000,137,2013-07-30 14:52:41.000, 
163,SL,SALES LADY,185,2013-07-31 10:21:03.000,185,2013-07-31 10:21:03.000, 
164,LIB,LIBRARIAN,141,2013-07-31 11:15:01.000,141,2013-07-31 11:15:01.000, 
165,HPR,HELPER,185,2013-08-02 09:09:21.000,185,2013-08-02 09:09:21.000, 
166,CW,CONSTRUCTION-WORKER,137,2013-08-05 11:19:23.000,137,2013-08-05 11:19:41.000, 
167,PHO,PHOTOGRAPHER,25,2013-08-05 13:08:12.000,25,2013-08-05 13:08:12.000, 
168,B11,BUSINESS-REAL ESTATE,137,2013-08-07 14:22:08.000,137,2013-08-07 14:22:08.000, 
169,INT.,INTELLIGENCE AGENT-BUREAU OF I,137,2013-08-08 11:34:59.000,137,2013-08-08 11:34:59.000, 
170,TUN,TUNNEL SUPERVISOR,141,2013-08-12 09:11:39.000,141,2013-08-12 09:11:39.000, 
171,TL,TELLER,25,2013-08-13 17:26:47.000,25,2013-08-13 17:26:47.000, 
172,BR.MA,BRANCH MANAGER,141,2013-08-14 11:44:39.000,141,2013-08-14 11:44:39.000, 
173,SVP-M,SVP-GENERAL MANAGER,142,2013-08-16 15:30:22.000,142,2013-08-16 15:30:22.000, 
174,TREA,TREASURER,142,2013-08-16 15:35:47.000,142,2013-08-16 15:35:47.000, 
175,PRES,PRESIDENT,142,2013-08-16 16:18:39.000,142,2013-08-16 16:18:39.000, 
176,SVP-E,SVP-EXTERNAL AFFAIRS,142,2013-08-16 16:33:04.000,142,2013-08-16 16:33:04.000, 
177,S,SOLDIER,691,2022-11-22 14:07:23.843,691,2022-11-22 14:07:23.843,
178,TRADE,TRADER-PLASTIC BOTTLES,137,2013-08-20 09:36:03.000,137,2013-08-20 09:36:03.000, 
179,FIN,FINANCE OFFICER,137,2013-08-20 15:06:29.000,137,2013-08-20 15:06:29.000, 
180,LAW,LAWYER,1004,2013-08-22 10:43:40.000,1004,2013-08-22 10:43:40.000, 
181,SEA,SEAMAN,105,2013-08-24 11:06:21.000,105,2013-08-24 11:06:21.000, 
182,WAIT,WAITER,22,03/07/2017,22,03/07/2017, 
183,PROG,PROGRAM ASSISTANT,2003,2017-07-07 18:05:00.000,2003,2017-07-07 18:05:00.000, 
184,,DRIVER,3001,2017-07-04 15:50:00.000,3001,2017-07-04 15:50:00.000, 
185,,CARETAKER ,3001,2017-07-10 18:07:00.000,3001,2017-07-10 18:07:00.000, 
186,ADM,ADMINISTRATIVE ASSISTANT,2003,2017-07-21 17:52:00.000,2003,2017-07-21 17:52:00.000, 
187,APR,LOAN APPRAISER,2003,2017-07-21 17:52:00.000,2003,2017-07-21 17:52:00.000, 
188,PCTRL,PRODUCT CONTROL,2001,2017-07-21 17:52:00.000,2001,2017-07-21 17:52:00.000, 
189,INS,QC INSPECTOR,2003,2017-07-21 17:52:00.000,2003,2017-07-21 17:52:00.000, 
190,MAN,OPERATION MANAGER,2003,2017-07-21 17:52:00.000,2003,2017-07-21 17:52:00.000, 
191,BOA,BOARD OF DIRECTOR,2003,2017-07-21 17:52:00.000,2003,2017-07-21 17:52:00.000, 
192,,KITCHEN SPECIALIST,2001,2017-07-21 17:52:00.000,2001,2017-07-21 17:52:00.000, 
193,,JOB ORDER WORKER,2001,2017-07-21 17:52:00.000,2001,2017-07-21 17:52:00.000, 
194,1812,BUSINESS WOMAN,2003,2017-07-21 17:52:00.000,5000,2017-11-09 17:28:52.353, 
195,BO,BUSINESS OWNER,2001,2017-07-21 17:52:00.000,5004,08/18/2017, 
196,RSB,REAL STATE BROKER,3001,2017-07-20 10:01:00.000,260,2018-02-23 16:38:00.000, 
197,,MERCHANDISER,2001,2017-07-27 17:20:00.000,2001,2017-07-27 17:20:00.000, 
198,IT,IT PROFESSIONAL,2003,2017-07-27 17:20:00.000,2003,2017-07-27 17:20:00.000, 
199,,FACULTY STAFF,2001,2017-07-27 17:20:00.000,2001,2017-07-27 17:20:00.000, 
200,SE,SEWER,2001,2017-07-27 17:20:00.000,2001,2017-07-27 17:20:00.000, 
201,,VENDOR-VEGETABLES,3001,2017-07-26 14:25:00.000,3001,2017-07-26 14:25:00.000, 
202,PL,PLUMBING,2001,2017-07-28 17:31:00.000,2001,2017-07-28 17:31:00.000, 
203,CCA,CALL CENTER AGENT,3001,2017-07-27 10:17:00.000,5003,2017-08-25 18:21:00.000, 
204,,CADDY,3001,2017-07-27 10:17:00.000,3001,2017-07-27 10:17:00.000, 
205,MAS,LABORER-MASON,2001,2017-07-28 17:31:00.000,2001,2017-07-28 17:31:00.000, 
206,,FREELANCE MASSAGE THERAPIST,2001,2017-07-28 17:31:00.000,2001,2017-07-28 17:31:00.000, 
207,PRO,PRODUCTION OPERATOR,2001,2017-07-31 17:39:00.000,2001,2017-07-31 17:39:00.000, 
208,MAC,MACHINE OPERATOR,2001,2017-07-31 17:39:00.000,2001,2017-07-31 17:39:00.000, 
209,MAC,MACHINE OPERATOR,2001,2017-07-31 17:39:00.000,2001,2017-07-31 17:39:00.000, 
210,ESC,ESCALATION AGENT,2001,2017-07-31 17:39:00.000,2001,2017-07-31 17:39:00.000, 
211,TECH,TECHNICIAN,2001,2017-07-31 17:39:00.000,2001,2017-07-31 17:39:00.000, 
212,CON,CONDUCTOR,2001,2017-07-31 17:39:00.000,2001,2017-07-31 17:39:00.000, 
213,RE,RESEARCHER,2003,2017-08-02 16:54:00.000,2003,2017-08-02 16:54:00.000, 
214,CANTE,CANTEEN OWNER,4003,2017-08-04 17:05:00.000,4003,2017-08-04 17:05:00.000, 
215,SECUR,SECURITY DIRECTOR/TREASURER,4003,2017-08-04 17:05:00.000,4003,2017-08-04 17:05:00.000, 
216,,AREA SCHOOL ADMINISTRATOR,2001,2017-08-04 09:34:00.000,2001,2017-08-04 09:34:00.000, 
217,ACC,ACCOUNTANT,2003,2017-08-07 17:15:00.000,2003,2017-08-07 17:15:00.000, 
218,HW,HOUSEWIFE,3001,2017-08-10 18:42:00.000,3001,2017-08-10 18:42:00.000, 
219,AD,AVON DEALER,1001,2017-08-08 13:17:00.000,1001,2017-08-08 13:17:00.000, 
220,SAR,SARI-SARI STORE OWNER,1001,2017-08-10 19:34:00.000,5004,08/18/2017, 
221,FOO,FOOD HANDLER,1001,2017-08-16 17:53:00.000,1001,2017-08-16 17:53:00.000, 
222,C,CHEF / HEAD COOK ,5004,2017-08-18 17:47:00.000,5004,2017-08-18 17:47:00.000, 
223,AO,APARTMENT OWNER,5004,2017-08-18 17:47:00.000,5004,2017-08-22 18:59:00.000, 
224,GAR,GARDENER,1001,2017-08-18 11:39:00.000,1001,2017-08-18 11:39:00.000, 
225,,FREELANCE CHOREOGRAPHER,2001,2017-08-18 17:47:00.000,2001,2017-08-18 17:47:00.000, 
226,TB,TOY AND BALLOONS OWNER,5004,2017-08-22 18:59:00.000,5004,2017-08-22 18:59:00.000, 
227,PO,PIGGERY OWNER,5004,2017-08-22 18:59:00.000,5004,2017-10-19 18:25:00.000, 
228,TSO,TRANSPORT SERVICE ONWER,5004,2017-08-22 18:59:00.000,5004,2017-08-22 18:59:00.000, 
229,SPB,SIGNAGE & PRINTING BUS. OWNER,5004,2017-08-22 18:59:00.000,5004,2017-08-22 18:59:00.000, 
230,LO,LOAN BOOKKEPER,2002,2017-08-22 18:59:00.000,2002,2017-08-22 18:59:00.000, 
231,PROF,PROFFESSOR/INSTRUCTOR,2002,2017-08-22 18:59:00.000,2002,2017-08-25 16:14:00.000, 
232,BAR,BAR ATTENDANT,1001,2017-08-23 20:46:00.000,1001,2017-08-23 20:46:00.000, 
233,FOOD,FOOD ENTERPRISE,2002,2017-08-23 18:18:00.000,2002,2017-08-23 18:18:00.000, 
234,,SERVICE CREW,2001,2017-08-24 18:54:00.000,2001,2017-08-24 18:54:00.000, 
235,EMPL,EMPLOYED,3001,2017-08-24 09:09:00.000,254,2018-02-23 16:38:00.000,
236,VI,VISUAL GRAPHIC ARTIST,2002,2017-08-25 16:14:00.000,2002,2017-08-25 16:14:00.000, 
237,VOL,VOLUNTEER,1001,2017-08-25 18:18:00.000,1001,2017-08-25 18:18:00.000, 
238,NON,NONE,1001,2017-08-31 08:35:00.000,1001,2017-08-31 08:35:00.000, 
239,ADM,ADMINISTRATIVE OFFICER,1001,2017-08-31 08:35:00.000,1001,2017-08-31 08:35:00.000, 
240,FISH,FISHERMAN,3001,2017-09-05 09:42:00.000,5004,2017-11-03 19:33:00.000, 
241,UNI,UNIVERSITY RESEARCHER I,1001,2017-09-06 19:37:00.000,1001,2017-09-06 19:37:00.000, 
242,SEN,SENIOR FINANCE MANAGER,1001,2017-09-06 19:37:00.000,1001,2017-09-06 19:37:00.000, 
243,SEC,SECRETARY,1001,2017-09-06 19:37:00.000,1001,2017-09-06 19:37:00.000, 
244,LENDI,LENDING,4003,2017-09-07 16:43:00.000,4003,2017-09-07 16:43:00.000, 
245,1,NUTRITIONIST,3003,2017-09-11 10:25:00.000,3003,2017-09-11 10:25:00.000, 
246,COM,COMMUNITY DEVELOPMENT WORKER,1001,2017-09-11 08:45:00.000,1001,2017-09-11 08:45:00.000, 
247,HEAD,HEAD TEACHER,1001,2017-09-11 08:45:00.000,1001,2017-09-11 08:45:00.000, 
248,ADM,ADMIN EXECUTIVE,1001,2017-09-11 08:45:00.000,1001,2017-09-11 08:45:00.000, 
249,SCH,SCHOOL LIBRARIAN,1003,2017-09-11 08:45:00.000,1003,2017-09-11 08:45:00.000, 
250,,CATTLE FATTENING,5004,2017-09-13 13:44:00.000,5004,2017-09-13 13:44:00.000, 
251,RFO,RICE FIELD OWNER,5004,2017-09-13 13:44:00.000,5004,2017-10-19 18:25:00.000, 
252,MEN,MENTAL ATTENDANT,1001,2017-09-13 13:11:00.000,1001,2017-09-13 13:11:00.000, 
253,BRGY,BRGY. HEALTH WORKER,1001,2017-09-13 13:11:00.000,1001,2017-09-13 13:11:00.000, 
254,TRI,TRICYCLE OPERATOR,1001,2017-09-13 13:11:00.000,1001,2017-09-13 13:11:00.000, 
255,FIE,FIELD COORDINATOR,1001,2017-09-13 13:11:00.000,1001,2017-09-13 13:11:00.000, 
256,AGE,AGENT,1001,2017-09-13 13:11:00.000,1001,2017-09-13 13:11:00.000, 
257,LAB,LABORATORY TECHNICIAN,1001,2017-09-13 13:11:00.000,1001,2017-09-13 13:11:00.000, 
258,PAS,PASTOR,1001,2017-09-13 13:11:00.000,1001,2017-09-13 13:11:00.000, 
259,CON,CONSULTANT,1001,2017-09-13 13:11:00.000,1001,2017-09-13 13:11:00.000, 
260,UR2,UNIVERSITY RESEARCHER ASSOC II,1001,2017-09-13 13:11:00.000,1001,2017-09-13 13:11:00.000, 
261,PRIN,PRINCIPAL,1001,2017-09-14 16:51:00.000,1001,2017-09-14 16:51:00.000, 
262,PS,PURCHASING SPECIALIST,1001,2017-09-18 17:50:00.000,1001,2017-09-18 17:50:00.000, 
263,,SCHOOL HEAD/OIC,2001,2017-09-19 17:15:00.000,2001,2017-09-19 17:15:00.000, 
264,MO,MAINTENANCE OPERATOR,1001,2017-09-20 16:34:00.000,1001,2017-09-20 16:34:00.000, 
265,PA,PROCESS ASSOCIATE,1001,2017-09-20 16:34:00.000,1001,2017-09-20 16:34:00.000, 
266,CSR,CUSTOMER SERVICE REPRESENTATIV,1001,2017-09-20 16:34:00.000,1001,2017-09-20 16:34:00.000, 
267,FO,FIELD OPERATOR,1001,2017-09-20 16:34:00.000,1001,2017-09-20 16:34:00.000, 
268,,PRODUCTION,1001,2017-09-21 17:40:00.000,1001,2017-09-21 17:40:00.000, 
269,AM,ASSISTANT PRINCIPAL,1001,2017-09-21 17:40:00.000,254,2018-02-23 16:38:00.000, 
270,,BARANGAY COUNCILOR,1001,2017-09-21 17:40:00.000,1001,2017-09-21 17:40:00.000, 
271,,CHICKEN VENDOR,1001,2017-09-22 17:32:00.000,1001,2017-09-22 17:32:00.000, 
272,,HRMO,1001,2017-09-22 17:32:00.000,1001,2017-09-22 17:32:00.000, 
273,,JEEPNEY OPERATOR,1001,2017-09-22 17:32:00.000,1001,2017-09-22 17:32:00.000, 
274,,SOCIAL WORKER AIDE,1001,2017-09-25 16:42:00.000,1001,2017-09-25 16:42:00.000, 
275,,BRGY. TREASURER,1003,2017-09-27 18:30:00.000,1003,2017-09-27 18:30:00.000, 
276,,OPERATION ASSISTANT,1001,2017-09-27 18:30:00.000,1001,2017-09-27 18:30:00.000, 
277,,TOURISM OFFICER,1003,2017-09-27 18:30:00.000,1003,2017-09-27 18:30:00.000, 
278,,PROJECT WORKER,1003,2017-09-27 18:30:00.000,1003,2017-09-27 18:30:00.000, 
279,,ACCOUNTING STAFF,1001,2017-09-27 18:30:00.000,1001,2017-09-27 18:30:00.000, 
280,,MANUFACTURING,1003,2017-09-28 18:13:00.000,1003,2017-09-28 18:13:00.000, 
281,,SALES COORDINATOR,1001,2017-09-28 18:13:00.000,1001,2017-09-28 18:13:00.000, 
282,,CONTRACTOR,1001,2017-09-28 18:13:00.000,247,2018-02-23 10:25:00.000, 
283,,COLLECTING AGENT,1001,2017-09-28 18:13:00.000,1001,2017-09-28 18:13:00.000, 
284,,UKAY-UKAY VENDOR,1001,2017-09-29 20:15:00.000,1001,2017-09-29 20:15:00.000, 
285,,VENDOR,1001,2017-09-29 20:15:00.000,1001,2017-09-29 20:15:00.000, 
286,,SANITATION INSPECTOR I,1001,2017-09-29 20:15:00.000,1001,2017-09-29 20:15:00.000, 
287,,WRF OPERATOR B,1001,2017-09-29 20:15:00.000,1001,2017-09-29 20:15:00.000, 
288,,HEALTH WORKER,1001,2017-09-29 20:15:00.000,1001,2017-09-29 20:15:00.000, 
289,,LIASON OFFICER,1001,2017-09-29 20:15:00.000,1001,2017-09-29 20:15:00.000, 
290,,CLERK,1001,2017-10-03 19:30:00.000,1001,2017-10-03 19:30:00.000, 
291,,EATERY,1001,2017-10-04 08:33:00.000,1001,2017-10-04 08:33:00.000, 
292,,MARKETING AGENT,972,2022-12-28 10:54:04.267,972,2022-12-28 10:54:04.267,
293,RB,RESORT BUSINESS,5003,2017-10-05 08:35:00.000,5003,2017-10-05 08:35:00.000, 
294,WS,WATER STATION BUSINESS,5003,2017-10-05 08:35:00.000,5003,2017-10-05 08:35:00.000, 
295,FC,FIGHTING COCK FARM,5003,2017-10-05 08:35:00.000,5003,2017-10-05 08:35:00.000, 
296,MC,METAL FABRICATION,5003,2017-10-06 18:45:00.000,5003,2017-10-06 18:45:00.000, 
297,MA,MANPOWER AGENCY,5003,2017-10-06 18:45:00.000,5003,2017-10-06 18:45:00.000, 
298,GEN,GENERAL MERCHANDISING,1000,2017-10-06 17:47:00.000,1000,2017-10-06 17:47:00.000, 
299,,BRGY. COUNCILOR,1001,2017-10-06 17:47:00.000,1001,2017-10-06 17:47:00.000, 
300,,BOOKKEEPER,1001,2017-10-06 17:47:00.000,1001,2017-10-06 17:47:00.000, 
301,MIL,MILL OPERATOR,1001,2017-10-06 17:47:00.000,1001,2017-10-06 17:47:00.000, 
302,,FIELD ENGINEER,1001,2017-10-06 17:47:00.000,1001,2017-10-06 17:47:00.000, 
303,,MECHANIC,1001,2017-10-06 17:47:00.000,1001,2017-10-06 17:47:00.000, 
304,,APPRENTICE,1001,2017-10-06 17:47:00.000,1001,2017-10-06 17:47:00.000, 
305,SPA,BUSINESS SPA,5003,2017-10-06 18:45:00.000,5003,2017-10-06 18:45:00.000, 
306,,PRODUCTION CREW,1001,2017-10-06 17:47:00.000,1001,2017-10-06 17:47:00.000, 
307,,PROMODIZER,1001,2017-10-06 17:47:00.000,1001,2017-10-06 17:47:00.000, 
