IndustryID,Code,Description,InsertedByUserID,InsertedDateTime,UpdatedByUserID,UpdatedDateTime,PSIC
23,01164,GROWING OF MAGUEY,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
24,01165,GROWING OF RAMIE,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
25,01166,GROWING OF PINA,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
26,01167,GROWING OF JUTE,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
27,01168,GROWING OF KENAF,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
28,01169,"GROWING OF OTHER FIBRE CROPS, N.E.C.",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
29,0117,GROWING OF LEAFY AND FRUIT BEARING VEGETABLES,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
30,01171,"GROWING OF LEAFY AND STEM VEGETABLES SUCH AS : CABBAGE, BROCCOLI, CAULIFLOWER, LETTUCE, ASPARAGUS, PECHAY, KANGKONG AND OTHER LEAFY OR STEM VEGETABLES",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
31,01172,"GROWING OF FRUIT BEARING VEGETABLES SUCH AS: TOMATO, EGGPLANT, CUCUMBER, AMPLAYA, SQUASH, GOURD AND OTHER FRUIT BEARING VEGETABLES, N.E.C.",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
32,01179,"GROWING OF OTHER LEAFY AND FRUIT BEARING VEGETABLES, N.E.C.",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
33,0118,"GROWING OF OTHER VEGETABLES, MELONS, ROOTS AND TUBERS",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
34,01181,GROWING OF ONION,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
35,01182,GROWING OF GARLIC,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
36,01183,GROWING OF CARROT,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
37,01184,GROWING OF POTATO,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
38,01185,GROWING OF CASSAVA,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
39,01186,GROWING OF SWEET POTATO(CAMOTE),9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
40,01187,GROWING OF MELONS AND WATERMELONS,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
41,01188,GROWING OF YAMS (UBE),9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
42,01189,"GROWING OF OTHER ROOTS, BULBS, TUBEROUS CROPS AND VEGETABLES",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
43,0119,GROWING OF OTHER NON-PERENNIAL CROPS,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
44,01191,GROWING OF ORCHIDS,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
45,01192,"GROWING OF FLOWERS OR FLOWER BUDS, (EXCEPT ORCHIDS)",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
46,01193,PRODUCTION OR GROWING OF HORTICULTURAL SPECIALTIES AND NURSERY PRODUCTS,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
47,01194,"GROWING OF PLANT MATERIALS USED CHIEFLY IN MEDICINAL/ PHARMACEUTICAL OR FOR INSECTICIDAL, FUNGICIDAL OR SIMILAR PURPOSES",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
48,01195,"GROWING OF CROPS CHIEFLY FOR CONSTRUCTION PURPOSES (E.G., NIPA, BAMBOO, BURI, ETC.)",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
49,01196,GROWING OF FORAGE CROPS AND OTHER GRASSES,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
50,01199,"GROWING OF OTHER NON-PERENNIAL CROPS, N.E.C.",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
51,012,GROWING OF PERENNIAL CROPS,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
52,0121,GROWING OF BANANA,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
53,01211,"GROWING OF BANANA, CAVENDISH",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
54,01212,GROWING OF OTHER BANANA,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
55,0122,GROWING OF PINEAPPLE,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
56,01220,GROWING OF PINEAPPLE,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
57,0123,GROWING OF CITRUS FRUITS,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
58,01231,GROWING OF CALAMANSI,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
59,01232,GROWING OF DALANDAN,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
60,01233,GROWING OF MANDARIN (DALANGHITA),9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
61,01234,GROWING OF POMELO (SUHA),9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
62,01235,"GROWING OF CITRUS FRUITS, N.E.C.",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
63,0124,GROWING OF MANGO,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
64,01240,GROWING OF MANGO,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
65,0125,GROWING OF PAPAYA,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
66,01250,GROWING OF PAPAYA,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
67,0126,"GROWING OF COCONUT, INCLUDING COPRA-MAKING, TUBA GATHERING AND COCO-SHELL CHARCOAL MAKING IN THE FARM",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
68,01260,"GROWING OF COCONUT, INCLUDING COPRA-MAKING, TUBA GATHERING AND COCO-SHELL CHARCOAL MAKING IN THE FARM",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
69,0127,GROWING OF BEVERAGE CROPS,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
70,01271,GROWING OF COFFEE,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
71,01272,GROWING OF COCOA,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
72,01273,GROWING OF TEA,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
73,01279,GROWING OF OTHER BEVERAGE CROPS,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
74,0128,"GROWING OF SPICES, AROMATIC,DRUG AND PHARMACEUTICAL CROPS",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
75,01281,"GROWING OF PERRENIAL SPICES AND AROMATIC CROPS SUCH AS: GINGER, PEPPER, CHILE, ACHUETE, LAUREL, ETC.",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
76,01282,"GROWING OF PLANT USED PRIMARILY IN MEDICAL/ PHARMACEUTICAL PURPOSES SUCH AS : LAGUNDI, BANABA, GINSENG, OREGANO, ETC.",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
77,01283,"GROWING OF PLANTS FOR INSECTICIDAL, FUNGICIDAL OR SIMILAR PURPOSES",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
78,01284,GROWING OF CROPS USED PRIMARILY IN PERFUMERY OR SIMILAR PURPOSES,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
79,01289,"GROWING OF OTHER SPICES, AROMATIC, DRUG AND PHARMACEUTICAL CROPS, N.E.C.",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
80,0129,GROWING OF OTHER FRUITS AND PERENNIAL CROPS,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
81,01291,"GROWING OF OTHER TROPICAL FRUITS, EG. JACKFRUIT, GUAVAS, AVOCADOS, LANZONES, DURIAN, RAMBUTAN, CHICO, ATIS, MANGOSTEEN, MAKOPA, ETC",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
82,01292,"GROWING OF PERENNIAL TREES WITH EDIBLE NUTS, E.G. PILI NUTS, CASHEW NUTS, ETC",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
83,01293,GROWING OF RUBBER TREE,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
84,01294,GROWING OF JATHROPA TREE,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
85,01295,"GROWING OF ORNAMENTAL OR DECORATIVE TREES SUCH AS CHRISTMAS OR PINE TREES, FIRE TREES, ETC.",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
86,01299,"GROWING OF OTHER FRUITS AND PERENNIAL CROPS, N.E.C.",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
87,013,PLANT PROPAGATION,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
88,0130,PLANT PROPAGATION,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
89,01300,PLANT PROPAGATION,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
90,014,ANIMAL PRODUCTION,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
91,0141,RAISING OF CATTLE AND BUFFALOES,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
92,01411,BEEF CATTLE FARMING (INCLUDING FEED LOT FATTENING),9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
93,01412,CARABAO FARMING,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
94,0142,RAISING OF HORSES AND OTHER EQUINES,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
95,01420,RAISING OF HORSES AND OTHER EQUINES,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
96,0143,DAIRY FARMING,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
97,01430,DAIRY FARMING,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
98,0144,RAISING OF SHEEPS AND GOATS,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
99,01441,SHEEP FARMING,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
100,01442,SHEEP SHEARING BY THE OWNER,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
101,01443,DEER FAMING,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
102,0145,HOG FARMING,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
103,01450,HOG FARMING,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
104,0146,CHICKEN PRODUCTION (INCLUDING OPERATION CHICKEN HATCHERIES),9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
105,01461,"CHICKEN PRODUCTION, BROILER",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
106,01462,"CHICKEN PRODUCTION, LAYER",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
107,01463,"CHICKEN PRODUCTION, NATIVE",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
108,0147,RAISING OF POULTRY (EXCEPT CHICKEN),9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
109,01471,RAISING OF DUCK BROILER,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
110,01472,RAISING OF QUAIL,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
111,01473,RAISING OF TURKEY,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
112,01474,RASING OF PIGEON,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
113,01475,RAISING OF GAME FOWL,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
114,01479,"RAISING OF POULTRY (EXCEPT CHICKEN), N.E.C.",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
115,0148,EGG PRODUCTION,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
116,01481,CHICKEN EGG PRODUCTION,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
117,01482,DUCK EGG PRODUCTION,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
118,01483,QUAIL EGG PRODUCTION,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
119,01489,"PRODUCTION OF EGGS, N.E.C.",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
120,0149,RAISING OF OTHER ANIMALS,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
121,01491,SERICULTURE (SILKWORM CULTURE FOR THE PRODUCTION OF COCOON),9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
122,01492,APIARY (BEE CULTURE FOR THE PRODUCTION OF HONEY),9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
123,01493,VERMICULTURE,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
124,01494,CROCODILE/ALLIGATOR FARMING,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
125,01495,RABBIT FARMING,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
126,01496,"RAISING OF SEMI-DOMESTICATED OR WILD ANIMALS INCLUDING BIRDS, REPTILES, INSECTS (E.G. BUTTERFLY) AND TURTLES",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
127,01497,RAISING AND BREEDING OF CATS AND DOGS,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
128,01498,GAME PROPAGATION AND BREEDING ACTIVITIES,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
129,01499,"RAISING OF OTHER ANIMALS, N.E.C.",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
130,015,SUPPORT ACTIVITIES TO AGRICULTURE AND POST-HARVEST CROP ACTIVITIES,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
131,0151,OPERATION OF IRRIGATION SYSTEMS THROUGH COOPERATIVES AND NONCOOPERATIVES,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
132,01511,OPERATION OF IRRIGATION SYSTEMS THROUGH COOPERATIVES,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
133,01512,OPERATION OF IRRIGATION SYSTEMS THROUGH NON-COOPERATIVES,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
134,0152,"PLANTING, TRANSPLANTING AND OTHER RELATED ACTIVITIES",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
135,01520,"PLANTING, TRANSPLANTING AND OTHER RELATED ACTIVITIES",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
136,0153,"SERVICES TO ESTABLISH CROPS, PROMOTE THEIR GROWTH AND PROTECT THEM FROM PESTS AND DISEASES",9998,2016-03-03 14:55:07.000,252,2018-02-23 10:25:00.000,
137,01531,"PLOWING, SEEDING, WEEDING, THINNING, PRUNING AND SIMILAR SERVICES",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
138,01532,FERTILIZER APPLICATIONS,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
139,01533,"CHEMICAL AND MECHANICAL WEED CONTROL, DISEASE AND PEST CONTROL SERVICES",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
140,01534,"SERVICES TO ESTABLISH CROPS, PROMOTE THEIR GROWTH AND PROTECT THEM FROM PESTS AND DISEASES, N.E.C.",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
141,0154,"HARVESTING, THRESHING, GRADING, BAILING AND RELATED SERVICES",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
142,01540,"HARVESTING, THRESHING, GRADING, BAILING AND RELATED SERVICES",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
143,0155,RENTAL OF FARM MACHINERY WITH DRIVERS AND CREW,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
144,01550,RENTAL OF FARM MACHINERY WITH DRIVERS AND CREW,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
145,0156,SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
146,01561,ARTIFICIAL INSEMINATION SERVICES,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
147,01562,CONTRACT ANIMAL GROWING SERVICES ON A FEE BASIS,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
148,01563,"EGG-HATCHING, SEX DETERMINATION AND OTHER POULTRY SERVICES",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
149,01564,"SERVICES TO PROMOTE PROPAGATION, GROWTH AND OUTPUT OF ANIMALS",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
150,01565,FARM MANAGEMENT SERVICES,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
151,01569,"OTHER SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION, N.E.C.",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
152,0157,POST-HARVEST CROP ACTIVITIES,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
153,01571,"PREPARATION OF CROPS FOR PRIMARY MARKETS, I.E. CLEANING, TRIMMING, GRADING, DISINFECTING",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
154,01572,COTTON GINNING,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
155,01573,PREPARATION OF TOBACCO LEAVES,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
156,01574,"PREPARATION OF COFFEE, CACAO AND COCOA BEANS",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
157,0158,SEED PROCESSING FOR PROPAGATION,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
158,01581,GROWING OF PADDY RICE FOR SEED PURPOSES,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
159,01582,GROWING OF SEEDLINGS FOR REFORESTATION,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
160,017,"HUNTING, TRAPPING AND RELATED SERVICE ACTIVITIES",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
161,0170,"HUNTING, TRAPPING AND RELATED SERVICE ACTIVITIES",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
162,01701,HUNTING AND TRAPPING WILD ANIMALS IN THE FOREST,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
163,01702,PRODUCTION OF REPTILE SKINS OR BIRD SKINS AND OTHER ANIMAL SKINS FROM HUNTING ACTIVITIES,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
164,01709,"HUNTING, TRAPPING AND OTHER RELATED ACTIVITIES, N.E.C.",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
165,021,SILVICULTURE AND OTHER FORESTRY ACTIVITIES,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
166,0211,"GROWING OF TIMBER FOREST SPECIES (E.G. GEMELINA, EUCALYPTUS, ETC.), PLANTING, REPLANTING, TRANSPLANTING, THINNING AND CONSERVING OF FOREST AND TIMBER TRACTS",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
167,02110,"GROWING OF TIMBER FOREST SPECIES (E.G. GEMELINA, EUCALYPTUS, ETC.), PLANTING, REPLANTING, TRANSPLANTING, THINNING AND CONSERVING OF FOREST AND TIMBER TRACTS",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
168,0212,OPERATION OF FOREST TREE NURSERIES,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
169,02120,OPERATION OF FOREST TREE NURSERIES,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
170,022,LOGGING,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
171,0220,LOGGING,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
172,02201,PRODUCTION OF ROUNDWOOD FOR FOREST-BASED MANUFACTURING INDUSTRIES,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
173,02202,"PRODUCTION OF ROUNDWOOD USED IN AN UNPROCESSED FORM SUCH AS PIT-PROPS, FENCE POSTS AND UTILITY POLES",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
174,02203,FIREWOOD CUTTING & CHARCOAL MAKING IN THE FOREST,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
175,023,GATHERING OF NON-WOOD FOREST PRODUCTS,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
176,0230,GATHERING OF NON-WOOD FOREST PRODUCTS,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
177,02300,GATHERING OF NON-WOOD FOREST PRODUCTS,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
178,024,SUPPORT SERVICES TO FORESTRY,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
179,0240,SUPPORT SERVICES TO FORESTRY,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
180,02400,SUPPORT SERVICES TO FORESTRY,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
181,031,FISHING,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
182,0311,MARINE FISHING,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
183,03111,"OCEAN FISHING, COMMERCIAL (USING VESSELS OVER 3 TONS)",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
184,03112,"COASTAL FISHING, MUNICIPAL (USING VESSELS OF LESS THAN 3 TONS)",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
185,03113,FISH CORRAL FISHING,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
186,0312,FRESHWATER FISHING,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
187,03121,"CATCHING FISH, CRABS AND CRUSTACEANS IN INLAND WATERS",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
188,03122,"GATHERING SHELLS AND CLAMS, EDIBLE, IN INLAND WATERS",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
189,03129,"OTHER FRESHWATER FISHING ACTIVITIES, N.E.C.",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
190,032,AQUACULTURE,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
191,0321,"OPERATION OF FRESHWATER FISH POND, FISH PENS, CAGE AND HATCHERIES",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
192,03211,"OPERATION OF FRESHWATER FISHPOND, EXCEPT FISH BREEDING FARMS AND NURSERIES",9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
193,03212,OPERATION OF FRESHWATER FISH PENS AND FISH CAGE,9998,2016-03-03 14:55:07.000,9998,2016-03-03 14:55:07.000,
